Number of nodes = 6109
mode number = 188, l = 13, m = 6
mode number = 189, l = 13, m = 7
mode number = 190, l = 13, m = 8
mode number = 191, l = 13, m = 9
mode number = 192, l = 13, m = 10
mode number = 193, l = 13, m = 11
mode number = 194, l = 13, m = 12
mode number = 195, l = 13, m = 13
mode number = 196, l = 14, m = -14
mode number = 197, l = 14, m = -13
mode number = 198, l = 14, m = -12
mode number = 199, l = 14, m = -11
mode number = 200, l = 14, m = -10
mode number = 201, l = 14, m = -9
mode number = 202, l = 14, m = -8
mode number = 203, l = 14, m = -7
mode number = 204, l = 14, m = -6
mode number = 205, l = 14, m = -5
mode number = 206, l = 14, m = -4
mode number = 207, l = 14, m = -3
mode number = 208, l = 14, m = -2
mode number = 209, l = 14, m = -1
mode number = 210, l = 14, m = 0
mode number = 211, l = 14, m = 1
mode number = 212, l = 14, m = 2
mode number = 213, l = 14, m = 3
mode number = 214, l = 14, m = 4
mode number = 215, l = 14, m = 5
mode number = 216, l = 14, m = 6
mode number = 217, l = 14, m = 7
mode number = 218, l = 14, m = 8
mode number = 219, l = 14, m = 9
mode number = 220, l = 14, m = 10
mode number = 221, l = 14, m = 11
mode number = 222, l = 14, m = 12
mode number = 223, l = 14, m = 13
mode number = 224, l = 14, m = 14
mode number = 225, l = 15, m = -15
mode number = 226, l = 15, m = -14
mode number = 227, l = 15, m = -13
mode number = 228, l = 15, m = -12
mode number = 229, l = 15, m = -11
mode number = 230, l = 15, m = -10
mode number = 231, l = 15, m = -9
mode number = 232, l = 15, m = -8
mode number = 233, l = 15, m = -7
mode number = 234, l = 15, m = -6
mode number = 235, l = 15, m = -5
mode number = 236, l = 15, m = -4
mode number = 237, l = 15, m = -3
mode number = 238, l = 15, m = -2
mode number = 239, l = 15, m = -1
mode number = 240, l = 15, m = 0
mode number = 241, l = 15, m = 1
mode number = 242, l = 15, m = 2
mode number = 243, l = 15, m = 3
mode number = 244, l = 15, m = 4
mode number = 245, l = 15, m = 5
mode number = 246, l = 15, m = 6
mode number = 247, l = 15, m = 7
mode number = 248, l = 15, m = 8
mode number = 249, l = 15, m = 9
mode number = 250, l = 15, m = 10
mode number = 251, l = 15, m = 11
mode number = 252, l = 15, m = 12
mode number = 253, l = 15, m = 13
mode number = 254, l = 15, m = 14
mode number = 255, l = 15, m = 15
mode number = 256, l = 16, m = -16
mode number = 257, l = 16, m = -15
mode number = 258, l = 16, m = -14
mode number = 259, l = 16, m = -13
mode number = 260, l = 16, m = -12
mode number = 261, l = 16, m = -11
mode number = 262, l = 16, m = -10
mode number = 263, l = 16, m = -9
mode number = 264, l = 16, m = -8
mode number = 265, l = 16, m = -7
mode number = 266, l = 16, m = -6
mode number = 267, l = 16, m = -5
mode number = 268, l = 16, m = -4
mode number = 269, l = 16, m = -3
mode number = 270, l = 16, m = -2
mode number = 271, l = 16, m = -1
mode number = 272, l = 16, m = 0
mode number = 273, l = 16, m = 1
mode number = 274, l = 16, m = 2
mode number = 275, l = 16, m = 3
mode number = 276, l = 16, m = 4
mode number = 277, l = 16, m = 5
mode number = 278, l = 16, m = 6
mode number = 279, l = 16, m = 7
mode number = 280, l = 16, m = 8
mode number = 281, l = 16, m = 9
mode number = 282, l = 16, m = 10
mode number = 283, l = 16, m = 11
mode number = 284, l = 16, m = 12
mode number = 285, l = 16, m = 13
mode number = 286, l = 16, m = 14
mode number = 287, l = 16, m = 15
mode number = 288, l = 16, m = 16
mode number = 289, l = 17, m = -17
mode number = 290, l = 17, m = -16
mode number = 291, l = 17, m = -15
mode number = 292, l = 17, m = -14
mode number = 293, l = 17, m = -13
mode number = 294, l = 17, m = -12
mode number = 295, l = 17, m = -11
mode number = 296, l = 17, m = -10
mode number = 297, l = 17, m = -9
mode number = 298, l = 17, m = -8
mode number = 299, l = 17, m = -7
mode number = 300, l = 17, m = -6
mode number = 301, l = 17, m = -5
mode number = 302, l = 17, m = -4
mode number = 303, l = 17, m = -3
mode number = 304, l = 17, m = -2
mode number = 305, l = 17, m = -1
mode number = 306, l = 17, m = 0
mode number = 307, l = 17, m = 1
mode number = 308, l = 17, m = 2
mode number = 309, l = 17, m = 3
mode number = 310, l = 17, m = 4
mode number = 311, l = 17, m = 5
mode number = 312, l = 17, m = 6
mode number = 313, l = 17, m = 7
mode number = 314, l = 17, m = 8
mode number = 315, l = 17, m = 9
mode number = 316, l = 17, m = 10
mode number = 317, l = 17, m = 11
mode number = 318, l = 17, m = 12
mode number = 319, l = 17, m = 13
mode number = 320, l = 17, m = 14
mode number = 321, l = 17, m = 15
mode number = 322, l = 17, m = 16
mode number = 323, l = 17, m = 17
mode number = 324, l = 18, m = -18
mode number = 325, l = 18, m = -17
mode number = 326, l = 18, m = -16
mode number = 327, l = 18, m = -15
