0, 71, 69
1, 69, 67
2, 67, 68
3, 68, 71
4, 1032, 942
5, 942, 993
6, 993, 1078
7, 1078, 1032
8, 1127, 1046
9, 1046, 1115
10, 1115, 1195
11, 1195, 1127
12, 409, 460
13, 460, 515
14, 515, 456
15, 456, 409
16, 67, 75
17, 75, 72
18, 72, 66
19, 66, 67
20, 3638, 3578
21, 3578, 3477
22, 3477, 3544
23, 3544, 3638
24, 2123, 2015
25, 2015, 1934
26, 1934, 2039
27, 2039, 2123
28, 66, 93
29, 93, 68
30, 424, 432
31, 432, 485
32, 485, 475
33, 475, 424
34, 1534, 1441
35, 1441, 1521
36, 1521, 1615
37, 1615, 1534
38, 74, 70
39, 70, 69
40, 71, 74
41, 69, 78
42, 78, 75
43, 1014, 1094
44, 1094, 1008
45, 1008, 933
46, 933, 1014
47, 436, 487
48, 487, 498
49, 498, 433
50, 433, 436
51, 3230, 3130
52, 3130, 3047
53, 3047, 3154
54, 3154, 3230
55, 1531, 1603
56, 1603, 1509
57, 1509, 1443
58, 1443, 1531
59, 79, 73
60, 73, 70
61, 74, 79
62, 70, 81
63, 81, 78
64, 4029, 3968
65, 3968, 4096
66, 4096, 4172
67, 4172, 4029
68, 1211, 1128
69, 1128, 1170
70, 1170, 1254
71, 1254, 1211
72, 428, 483
73, 483, 512
74, 512, 457
75, 457, 428
76, 68, 77
77, 77, 82
78, 82, 71
79, 3454, 3552
80, 3552, 3666
81, 3666, 3569
82, 3569, 3454
83, 73, 84
84, 84, 81
85, 1068, 967
86, 967, 961
87, 961, 1076
88, 1076, 1068
89, 1217, 1267
90, 1267, 1155
91, 1155, 1130
92, 1130, 1217
93, 427, 467
94, 467, 506
95, 506, 464
96, 464, 427
97, 82, 86
98, 86, 74
99, 2136, 2046
100, 2046, 1942
101, 1942, 2023
102, 2023, 2136
103, 73, 83
104, 83, 76
105, 76, 84
106, 432, 439
107, 439, 494
108, 494, 485
109, 3048, 3167
110, 3167, 3240
111, 3240, 3120
112, 3120, 3048
113, 1546, 1616
114, 1616, 1531
115, 1531, 1456
116, 1456, 1546
117, 75, 88
118, 88, 85
119, 85, 72
120, 79, 90
121, 90, 83
122, 1048, 1092
123, 1092, 1004
124, 1004, 952
125, 952, 1048
126, 498, 508
127, 508, 444
128, 444, 433
129, 1559, 1595
130, 1595, 1494
131, 1494, 1466
132, 1466, 1559
133, 86, 90
134, 78, 91
135, 91, 88
136, 1226, 1151
137, 1151, 1159
138, 1159, 1244
139, 1244, 1226
140, 447, 499
141, 499, 513
142, 513, 459
143, 459, 447
144, 93, 100
145, 100, 77
146, 76, 87
147, 87, 80
148, 80, 89
149, 89, 76
150, 986, 897
151, 897, 942
152, 1032, 986
153, 1235, 1269
154, 1269, 1174
155, 1174, 1101
156, 1101, 1235
157, 440, 495
158, 495, 507
159, 507, 451
160, 451, 440
161, 72, 113
162, 113, 107
163, 107, 66
164, 3411, 3532
165, 3532, 3625
166, 3625, 3510
167, 3510, 3411
168, 1914, 1958
169, 1958, 2071
170, 2071, 1977
171, 1977, 1914
172, 83, 96
173, 96, 87
174, 435, 445
175, 445, 505
176, 505, 492
177, 492, 435
178, 1492, 1558
179, 1558, 1472
180, 1472, 1406
181, 1406, 1492
182, 81, 95
183, 95, 91
184, 89, 99
185, 99, 84
186, 890, 972
187, 972, 1038
188, 1038, 965
189, 965, 890
190, 446, 452
191, 452, 510
192, 510, 503
193, 503, 446
194, 3197, 3326
195, 3326, 3251
196, 3251, 3117
197, 3117, 3197
198, 1524, 1540
199, 1540, 1442
200, 1442, 1401
201, 1401, 1524
202, 77, 92
203, 92, 97
204, 97, 82
205, 99, 95
206, 3985, 3917
207, 3917, 4041
208, 4041, 4106
209, 4106, 3985
210, 1215, 1284
211, 1284, 1200
212, 1200, 1129
213, 1129, 1215
214, 508, 572
215, 572, 610
216, 610, 532
217, 532, 508
218, 97, 102
219, 102, 86
220, 3498, 3616
221, 3616, 3533
222, 3533, 3414
223, 3414, 3498
224, 87, 103
225, 103, 94
226, 94, 80
227, 900, 969
228, 969, 1041
229, 1041, 976
230, 976, 900
231, 1219, 1286
232, 1286, 1201
233, 1201, 1134
234, 1134, 1219
235, 501, 557
236, 557, 604
237, 604, 541
238, 541, 501
239, 80, 98
240, 98, 105
241, 105, 89
242, 2022, 2073
243, 2073, 1956
244, 1956, 1905
245, 1905, 2022
246, 107, 128
247, 128, 93
248, 1174, 1062
249, 1062, 1031
250, 1031, 1101
251, 434, 484
252, 484, 520
253, 520, 467
254, 467, 434
255, 3308, 3211
256, 3211, 3133
257, 3133, 3239
258, 3239, 3308
259, 1515, 1419
260, 1419, 1464
261, 1464, 1560
262, 1560, 1515
263, 90, 106
264, 106, 96
265, 100, 108
266, 108, 92
